author_id,work_id,book,testament_group,osis_ref,passage
clement_rome,virginity,Gen,old_testament_or_other,Bible:Gen.34.7,Gen. xxxiv. 7
clement_rome,virginity,Sir,deuterocanonical,Bible:Sir.9.8-Sir.9.9,"Ecclus. ix. 8, 9"
clement_rome,virginity,Sir,deuterocanonical,Bible:Sir.9.12,Ecclus. ix. 12
clement_rome,virginity,Prov,old_testament_or_other,Bible:Prov.6.27,Prov. vi. 27
clement_rome,virginity,Prov,old_testament_or_other,Bible:Prov.6.28-Prov.6.29,"Prov. vi. 28, 29"
clement_rome,virginity,Prov,old_testament_or_other,Bible:Prov.6.25,Prov. vi. 25
clement_rome,virginity,Sir,deuterocanonical,Bible:Sir.9.5,"Ecclus.
ix. 5"
clement_rome,virginity,Sir,deuterocanonical,Bible:Sir.9.4,"Ecclus.
ix. 4"
clement_rome,virginity,1Cor,new_testament,Bible:1Cor.10.12,1 Cor. x. 12
clement_rome,virginity,Exod,old_testament_or_other,Bible:Exod.15.1,Exod. xv. 1
clement_rome,virginity,John,new_testament,Bible:John.4.27,John iv. 27
clement_rome,virginity,John,new_testament,Bible:John.20.17,John xx. 17
clement_rome,virginity,2Kgs,old_testament_or_other,Bible:2Kgs.4.27,2 Kings iv. 27
clement_rome,pseudo_literature,Gen,old_testament_or_other,Bible:Gen.1.1,Gen. i. 1
clement_rome,pseudo_literature,Gen,old_testament_or_other,Bible:Gen.6.2,Gen. vi. 2
clement_rome,pseudo_literature,Gen,old_testament_or_other,Bible:Gen.9.1,Gen. ix. 1
clement_rome,pseudo_literature,Gen,old_testament_or_other,Bible:Gen.11.28,Gen. xi. 28
clement_rome,pseudo_literature,Exod,old_testament_or_other,Bible:Exod.3,Exod. iii
clement_rome,pseudo_literature,1Cor,new_testament,Bible:1Cor.10.4,1 Cor. x. 4
clement_rome,pseudo_literature,Deut,old_testament_or_other,Bible:Deut.17.15 Bible:Acts.3.22-Acts.3.23,"Deut. xvii. 15; Acts iii. 22,
23"
