author_id,work_id,book,testament_group,osis_ref,passage
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.28.12,Deut. xxviii. 12
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.101.8,Ps. ci. 8
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.2.34,Deut. ii. 34
origen,against_celsus,Ezek,old_testament_or_other,Bible:Ezek.20.25,Ezek. xx. 25
origen,against_celsus,2Cor,new_testament,Bible:2Cor.3.6,2 Cor. iii. 6
origen,against_celsus,Ezek,old_testament_or_other,Bible:Ezek.20.21 Bible:Ezek.20.25,"Ezek. xx. 21, 25"
origen,against_celsus,2Cor,new_testament,Bible:2Cor.3.7-2Cor.3.8,"2 Cor. iii. 7, 8"
origen,against_celsus,Rom,new_testament,Bible:Rom.7.12 Bible:Rom.7.14,"Rom. vii. 12, 14"
origen,against_celsus,1Tim,new_testament,Bible:1Tim.6.17-1Tim.6.18,"1 Tim. vi. 17, 18"
origen,against_celsus,Prov,old_testament_or_other,Bible:Prov.13.8,Prov. xiii. 8
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.32.30,Deut. xxxii. 30
origen,against_celsus,Rom,new_testament,Bible:Rom.15.19,Rom. xv. 19
origen,against_celsus,Gal,new_testament,Bible:Gal.2.5,Gal. ii. 5
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.137,137th Psalm
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.137.8-Ps.137.9,"Ps. cxxxvii. 8, 9"
origen,against_celsus,Rom,new_testament,Bible:Rom.2.29,Rom. ii. 29
origen,against_celsus,Matt,new_testament,Bible:Matt.19.23,Matt. xix. 23
origen,against_celsus,Prov,old_testament_or_other,Bible:Prov.28.6,Prov. xxviii. 6
origen,against_celsus,Mark,new_testament,Bible:Mark.10.44,Mark x. 44
origen,against_celsus,Matt,new_testament,Bible:Matt.20.25,Matt. xx. 25
origen,against_celsus,Luke,new_testament,Bible:Luke.22.25,Luke xxii. 25
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.7.3-Ps.7.5,Ps. vii. 3–5
origen,against_celsus,Matt,new_testament,Bible:Matt.6.25-Matt.6.28,Matt. vi. 25–28
origen,against_celsus,Lev,old_testament_or_other,Bible:Lev.26.5,Lev. xxvi. 5
origen,against_celsus,Prov,old_testament_or_other,Bible:Prov.13.25,Prov. xiii. 25
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.21.24,Ex. xxi. 24
origen,against_celsus,Matt,new_testament,Bible:Matt.5.39,Matt. v. 39
origen,against_celsus,Lam,old_testament_or_other,Bible:Lam.3.27-Lam.3.28 Bible:Lam.3.30,"Lam. iii. 27, 28, 30"
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.3.8,Ex. iii. 8
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.3.17,Gen. iii. 17
origen,against_celsus,Heb,new_testament,Bible:Heb.12.22,Heb. xii. 22
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.76.2,Ps. lxxvi. 2
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.48.1-Ps.48.2,"Ps. xlviii. 1, 2"
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.37.9 Bible:Ps.37.11 Bible:Ps.37.22 Bible:Ps.37.29 Bible:Ps.37.34,"Ps. xxxvii. 9, 11, 22, 29, 34"
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.54.12 Bible:Isa.54.11,"Isa. liv. 12, 11"
origen,against_celsus,Hag,old_testament_or_other,Bible:Hag.2.6,Hagg. ii. 6
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.46 Bible:Ps.48,forty-sixth and forty-eighth Psalms
origen,against_celsus,Dan,old_testament_or_other,Bible:Dan.4.37,Dan. iv. 37
origen,against_celsus,Isa,old_testament_or_other,Bible:Isa.5.12,Isa. v. 12
origen,against_celsus,2Cor,new_testament,Bible:2Cor.5.1 Bible:2Cor.5.4,"2 Cor. v. 1, 4"
origen,against_celsus,2Cor,new_testament,Bible:2Cor.5.1,2 Cor. v. 1
origen,against_celsus,1Cor,new_testament,Bible:1Cor.15.53,1 Cor. xv. 53
origen,against_celsus,Matt,new_testament,Bible:Matt.15.19 Bible:Matt.6.23,Matt. xv. 19 and vi. 23
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.51.10,Ps. li. 10
origen,against_celsus,Deut,old_testament_or_other,Bible:Deut.13.4,Deut. xiii. 4
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.63.8,Ps. lxiii. 8
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.19.8,Ps. xix. 8
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.13.3,Ps. xiii. 3
origen,against_celsus,Matt,new_testament,Bible:Matt.13.9,Matt. xiii. 9
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.77.2,Ps. lxxvii. 2
origen,against_celsus,2Cor,new_testament,Bible:2Cor.4.10,2 Cor. iv. 10
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.6.3,Gen. vi. 3
origen,against_celsus,Rom,new_testament,Bible:Rom.8.8,Rom. viii. 8
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.3.6,Gen. iii. 6
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.3.5,Gen. iii. 5
origen,against_celsus,Gen,old_testament_or_other,Bible:Gen.3.7,Gen. iii. 7
origen,against_celsus,John,new_testament,Bible:John.9.39,John ix. 39
origen,against_celsus,John,new_testament,Bible:John.14.9,John xiv. 9
origen,against_celsus,Rom,new_testament,Bible:Rom.8.9,Rom. viii. 9
origen,against_celsus,2Cor,new_testament,Bible:2Cor.10.3-2Cor.10.4,"2 Cor. x. 3, 4"
origen,against_celsus,Rom,new_testament,Bible:Rom.1.23,Rom. i. 23
origen,against_celsus,Rom,new_testament,Bible:Rom.1.24-Rom.1.25,"Rom. i. 24, 25"
origen,against_celsus,Rom,new_testament,Bible:Rom.1.28,Rom. i. 28
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.37.30-Ps.37.31,"Ps. xxxvii. 30, 31"
origen,against_celsus,Rom,new_testament,Bible:Rom.1.27,Rom. i. 27
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.51.5,Ps. li. 5
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.58.3,Ps. lviii. 3
origen,against_celsus,Rom,new_testament,Bible:Rom.8.20,Rom. viii. 20
origen,against_celsus,Eccl,old_testament_or_other,Bible:Eccl.1.2,Eccles. i. 2
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.39.5,Ps. xxxix. 5
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.44.25,Ps. xliv. 25
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.22.15,Ps. xxii. 15
origen,against_celsus,Rom,new_testament,Bible:Rom.7.24,Rom. vii. 24
origen,against_celsus,Phil,new_testament,Bible:Phil.3.21,Phil. iii. 21
origen,against_celsus,Ps,old_testament_or_other,Bible:Ps.43.20,Ps. xliii. 20
origen,against_celsus,2Cor,new_testament,Bible:2Cor.5.6 Bible:2Cor.5.8,"2 Cor. v. 6, 8"
origen,against_celsus,Wis,deuterocanonical,Bible:Wis.12.1-Wis.12.2,"Wisd. xii. 1, 2"
origen,against_celsus,John,new_testament,Bible:John.20.22,John xx. 22
origen,against_celsus,Acts,new_testament,Bible:Acts.1.5,Acts i. 5
origen,against_celsus,John,new_testament,Bible:John.1.5,John i. 5
origen,against_celsus,2Tim,new_testament,Bible:2Tim.4.7,2 Tim. iv. 7
origen,against_celsus,1Cor,new_testament,Bible:1Cor.9.26,1 Cor. ix. 26
origen,against_celsus,Eph,new_testament,Bible:Eph.2.2,Eph. ii. 2
origen,against_celsus,Gal,new_testament,Bible:Gal.5.25,Gal. v. 25
origen,against_celsus,Luke,new_testament,Bible:Luke.10.19,Luke x. 19
origen,against_celsus,Matt,new_testament,Bible:Matt.5.39-Matt.5.40,"Matt. v. 39, 40"
origen,against_celsus,Exod,old_testament_or_other,Bible:Exod.20.3-Exod.20.4,"Ex. xx. 3, 4"
origen,against_celsus,Matt,new_testament,Bible:Matt.4.10,Matt. iv. 10
